 Test Set | Accuracy: 1.00%
Test:    10 Test | Accuracy: 18.00%
Test:    20 Test | Accuracy: 8.00%
Test:    30 Test | Accuracy: 28.00%
Test:    40 Test | Accuracy: 29.00%
Test:    50 Test | Accuracy: 2.00%
Test:    60 Test | Accuracy: 0.00%
Test:    70 Test | Accuracy: 1.00%
Test:    80 Test | Accuracy: 1.00%
Test:    90 Test | Accuracy: 1.00%
Test:   100 Test | Accuracy: 2.00%
Test:    10 Test | Accuracy: 20.00%
Test:    20 Test | Accuracy: 5.00%
Test:    30 Test | Accuracy: 3.00%
Test:    40 Test | Accuracy: 81.00%
Test:    50 Test | Accuracy: 85.00%
Test:    60 Test | Accuracy: 85.00%
Test:    70 Test | Accuracy: 86.00%
Test:    80 Test | Accuracy: 86.00%
Test:    90 Test | Accuracy: 86.00%
Test:   100 Test | Accuracy: 87.00%
Test:   110 Test | Accuracy: 87.00%
Test:   120 Test | Accuracy: 87.00%
Test:   130 Test | Accuracy: 88.00%
Test:   140 Test | Accuracy: 87.00%
Test:   150 Test | Accuracy: 87.00%
Test:   160 Test | Accuracy: 88.00%
Test:   170 Test | Accuracy: 88.00%
Test:   180 Test | Accuracy: 87.00%
Test:   190 Test | Accuracy: 88.00%
Test:   200 Test | Accuracy: 88.00%
Test:   210 Test | Accuracy: 88.00%
Test:   220 Test | Accuracy: 89.00%
Test:   230 Test | Accuracy: 88.00%
Test:   240 Test | Accuracy: 88.00%
Test:   250 Test | Accuracy: 88.00%
Test:   260 Test | Accuracy: 90.00%
Test:   270 Test | Accuracy: 90.00%
Test:   280 Test | Accuracy: 89.00%
Test:   290 Test | Accuracy: 89.00%
Test:   300 Test | Accuracy: 89.00%
Test:   310 Test | Accuracy: 90.00%
Test:   320 Test | Accuracy: 90.00%
Test:   330 Test | Accuracy: 89.00%
Test:   340 Test | Accuracy: 89.00%
Test:   350 Test | Accuracy: 90.00%
Test:   360 Test | Accuracy: 89.00%
Test:   370 Test | Accuracy: 90.00%
Test:   380 Test | Accuracy: 89.00%
Test:   390 Test | Accuracy: 89.00%
Test:   400 Test | Accuracy: 90.00%
Test:   410 Test | Accuracy: 90.00%
Test:   420 Test | Accuracy: 89.00%
Test:   430 Test | Accuracy: 90.00%
Test:   440 Test | Accuracy: 90.00%
Test:   450 Test | Accuracy: 90.00%
Test:   460 Test | Accuracy: 89.00%
Test:   470 Test | Accuracy: 89.00%
Test:   480 Test | Accuracy: 89.00%
Test:   490 Test | Accuracy: 89.00%
Test:   500 Test | Accuracy: 89.00%
